DATE TIME_E LAT LON K TIME_P TIME_S FILENAME
13.03.2001 15:51:59.1 51.73 103.8 9.2 15:52:34.42 15:53:01.50 data/2001-03-13-15-51H__072
11.08.2001 23:16:45.9 51.68 104.02 10.1 23:17:19.14 23:17:44.51 data/2001-08-11-23-16H__223
